ip,initial_sent,coalesced_sent,initial_sent_until_retry,pto_expired,coalesced_received,retry_received,initial_sent_after_retry,initial_received,handshake_received,handshake_sent,packet_dropped,total_sent,total_received,rtt,var,port
5.63.158.228,3,6,1,,6,1.0,2.0,1,6.0,3.0,,6.0,7.0,48.3089,20.481,784
51.15.35.250,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,18.0139,10.216,784
51.15.73.157,3,5,1,,6,1.0,2.0,1,5.0,2.0,,5.0,6.0,12.9002,5.44,784
51.158.105.226,3,3,1,,3,1.0,2.0,1,3.0,1.0,,4.0,4.0,23.530099999999997,9.215,784
51.222.107.153,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,109.44725,23.194,8853
51.222.28.207,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,97.0178,18.869999999999997,784
51.38.189.197,3,5,1,,6,1.0,2.0,1,5.0,2.0,,5.0,6.0,24.4179,7.1475,784
51.79.159.77,7,6,3,2.0,4,1.0,4.0,1,3.0,1.0,3.0,8.0,4.0,256.8574,89.727,784
51.79.160.49,7,7,3,2.0,5,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,267.53875,87.989,784
51.81.81.178,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,98.9491,21.701,784
52.229.165.230,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,198.0129,50.635999999999996,784
54.37.237.29,3,3,1,,4,1.0,2.0,1,3.0,1.0,,4.0,4.0,37.4385,13.244,784
61.239.243.22,3,4,1,,4,1.0,2.0,1,3.0,1.0,,4.0,4.0,188.72225,61.166,784
61.76.61.101,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,280.9998,94.2565,784
62.151.178.144,3,5,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,120.72120000000001,30.606,784
62.210.6.110,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,23.6462,7.417,784
65.21.144.132,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,40.534850000000006,13.999,784
65.21.5.106,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,39.084450000000004,9.605,784
65.49.194.95,3,3,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,162.0073,46.693,784
65.49.215.246,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,163.5873,41.684,784
66.181.42.75,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,121.1371,30.87,784
66.42.59.93,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,177.92025,45.6385,784
67.230.170.175,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,1.0,10.0,6.0,186.3178,78.071,784
67.230.177.191,3,5,1,,5,1.0,2.0,1,6.0,3.0,,6.0,7.0,159.2064,36.728,784
68.183.91.243,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,151.462,32.655,8853
73.79.210.148,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,122.281,35.928,784
74.118.141.85,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,121.80009999999999,28.613,8853
78.102.108.90,5,5,1,1.0,5,1.0,4.0,2,6.0,3.0,1.0,8.0,7.0,37.4765,130.0615,784
8.131.53.36,3,5,1,1.0,3,1.0,2.0,1,6.0,4.0,1.0,28.0,28.0,183.1786,48.1425,784
8.131.58.149,7,7,3,2.0,7,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,250.842,82.326,784
8.131.64.60,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,257.42044999999996,85.19200000000001,784
8.135.0.50,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,4.0,10.0,6.0,222.9814,63.721,784
8.39.235.108,5,6,3,1.0,5,1.0,2.0,1,5.0,3.0,,8.0,6.0,168.531,51.065,8853
8.9.5.237,9,8,7,3.0,5,1.0,2.0,1,5.0,3.0,,12.0,6.0,91.0704,27.898,784
80.194.132.17,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,43.59625,13.3255,784
80.240.16.56,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,17.8813,5.598,784
81.68.157.7,7,8,3,4.0,4,1.0,4.0,1,5.0,4.0,2.0,11.0,6.0,265.3549,75.499,784
81.68.209.122,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,2.0,9.0,5.0,271.8398,89.756,784
81.70.197.6,7,9,3,4.0,7,1.0,4.0,1,7.0,6.0,3.0,26.0,16.0,304.2678,115.817,784
81.70.202.27,5,6,3,2.0,5,1.0,2.0,1,6.0,5.0,,40.0,28.0,176.8594,68.566,784
81.70.94.171,9,12,3,5.0,7,1.0,6.0,1,7.0,6.0,,30.0,16.0,256.4024,76.834,784
81.71.141.138,7,7,3,2.0,4,1.0,4.0,1,6.0,3.0,2.0,10.0,7.0,277.483,91.271,784
81.71.24.143,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,270.2899,76.691,784
81.71.73.142,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,260.3787,75.688,784
81.95.1.120,3,4,1,,3,1.0,2.0,1,3.0,1.0,,4.0,4.0,19.9497,7.765,784
82.118.227.235,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,43.5201,12.7725,784
82.156.182.7,9,10,3,4.0,7,1.0,6.0,1,6.0,5.0,3.0,28.0,14.0,243.7723,106.775125,784
82.165.110.117,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,30.467,13.718,784
82.165.167.91,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,15.5846,7.014,784
82.165.23.176,7,6,5,2.0,5,1.0,2.0,1,5.0,2.0,,9.0,6.0,16.09505,14.855,784
82.64.186.84,3,5,1,1.0,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,38.2251,22.96255,784
82.65.248.221,3,5,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,71.2688,20.502,784
83.212.102.207,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,63.2759,23.735,784
83.85.202.186,5,5,1,1.0,7,1.0,4.0,1,6.0,3.0,1.0,8.0,7.0,30.5751,16.4355,784
85.175.98.82,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,60.8463,26.108,784
85.175.98.82,2,3,2,,2,,,1,4.0,2.0,,4.0,4.0,89.06205,83.51050000000001,8853
85.2.39.233,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,28.95995,12.043,784
85.235.65.70,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,24.7301,9.2585,784
86.106.103.153,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,39.9833,14.156,8853
86.106.90.57,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,99.5694,21.932000000000002,8853
86.247.201.169,3,5,1,,7,1.0,2.0,1,6.0,3.0,,6.0,7.0,32.2465,13.469000000000001,784
87.106.168.61,3,3,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,22.077199999999998,8.75,784
87.239.50.9,3,5,1,,7,1.0,2.0,1,6.0,3.0,,6.0,7.0,201.332,51.857,784
87.98.147.127,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,20.3898,8.254999999999999,784
89.187.161.167,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,268.0152,76.941,8853
89.80.180.78,3,5,1,,5,1.0,2.0,1,6.0,3.0,,6.0,7.0,39.1595,19.57975,784
90.119.115.69,3,4,1,,5,1.0,2.0,1,3.0,2.0,,5.0,4.0,32.1723,9.04,784
91.190.23.63,3,4,1,,4,1.0,2.0,1,3.0,2.0,,5.0,4.0,42.916,12.472,784
91.219.236.126,3,3,1,,4,1.0,2.0,1,3.0,1.0,,4.0,4.0,34.5701,14.841,784
91.230.211.67,3,5,1,,6,1.0,2.0,1,6.0,3.0,,6.0,7.0,97.7663,19.316000000000003,784
91.234.248.103,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,27.663,10.155,784
91.239.27.199,3,6,1,,7,1.0,2.0,1,5.0,3.0,,6.0,6.0,49.4818,13.517,784
92.223.109.31,5,6,3,2.0,4,1.0,2.0,1,6.0,3.0,,8.0,7.0,101.53495,29.4585,784
92.223.65.71,3,5,1,,6,1.0,2.0,1,6.0,3.0,,6.0,7.0,54.1741,11.925,784
92.38.128.211,3,5,1,,5,1.0,2.0,1,4.0,2.0,,5.0,5.0,156.3698,34.458,784
92.38.163.181,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,16.348950000000002,4.488,784
92.38.166.121,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,261.8879,76.401,8853
93.115.24.204,5,6,3,1.0,4,1.0,2.0,1,6.0,3.0,,8.0,7.0,43.703149999999994,19.174,784
93.115.24.205,7,7,5,2.0,4,1.0,2.0,1,6.0,3.0,,10.0,7.0,55.8625,22.549500000000002,784
93.185.2.4,7,8,1,2.0,5,1.0,6.0,1,5.0,3.0,4.0,10.0,6.0,29.9471,70.169,784
93.189.61.195,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,16.8731,7.5449,8853
93.9.104.4,3,5,1,,5,1.0,2.0,1,4.0,3.0,1.0,6.0,5.0,40.400800000000004,12.939499999999999,784
94.103.80.158,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,17.6847,5.741,784
94.140.14.14,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,11.1045,4.567,784
94.140.14.14,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,12.720600000000001,3.7145,8853
94.140.14.140,3,5,1,,6,1.0,2.0,1,4.0,2.0,,5.0,5.0,21.1312,7.129,784
94.140.14.140,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,20.3194,7.439,8853
94.140.14.141,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,12.403,4.6915,784
94.140.14.141,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,12.5129,4.267,8853
94.140.14.15,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,12.5375,3.903,784
94.140.14.15,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,11.074,3.132,8853
94.140.15.15,3,5,1,,5,1.0,2.0,1,4.0,2.0,,5.0,5.0,12.9754,5.819,784
94.140.15.15,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,10.7033,5.061,8853
94.140.15.16,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,18.9599,7.406,784
94.140.15.16,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,19.813,7.1545000000000005,8853
94.177.231.234,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,12.2261,4.988,784
94.237.75.42,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,273.1417,80.076,784
94.74.106.164,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,322.6392,114.12,784
95.165.25.21,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,62.8069,23.247,784
95.179.134.211,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,16.1174,3.731,8853
95.94.209.3,3,6,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,73.758,22.402,784
