ip,initial_sent,coalesced_sent,initial_sent_until_retry,pto_expired,coalesced_received,retry_received,initial_sent_after_retry,initial_received,handshake_received,handshake_sent,packet_dropped,total_sent,total_received,rtt,var,port
119.28.110.67,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,269.8004,78.582,784
119.28.180.81,7,8,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,320.118,106.19550000000001,784
119.28.58.160,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,194.6389,56.238,784
119.28.59.205,7,7,3,2.0,6,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,213.2019,60.129,784
119.28.88.230,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,319.34185,105.7855,8853
120.55.44.44,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,314.6257,103.589,784
120.77.250.2,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,222.6664,80.5655,784
120.77.83.177,7,6,3,2.0,3,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,243.3279,214.791,784
121.133.94.94,6,4,3,2.0,2,1.0,3.0,1,,,,,,0.0,0.0,784
121.196.146.239,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,233.8,68.865,784
121.199.79.161,7,9,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,281.2994,94.61349999999999,784
121.36.56.68,7,8,3,3.0,2,1.0,4.0,1,1.0,5.0,2.0,,,131.3565,65.67825,784
121.4.78.184,7,9,3,3.0,7,1.0,4.0,1,7.0,6.0,2.0,13.0,8.0,218.06115,92.12299999999999,784
121.40.74.94,7,6,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,262.1418,75.65,784
121.40.98.11,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,270.0867,106.9585,784
121.5.226.183,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,1.0,9.0,5.0,264.1201,76.763,784
122.116.129.2,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,217.9722,63.222,784
122.116.200.91,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,225.2753,147.3465,784
122.117.222.121,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,319.54970000000003,116.733,784
123.195.161.145,7,7,3,2.0,6,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,275.0639,180.1745,784
124.156.136.216,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,196.5932,48.881,784
124.156.140.90,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,209.1517,58.969,784
124.156.184.179,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,196.47764999999998,49.4805,784
124.70.83.172,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,27.0,15.0,268.1752,76.711,784
124.71.162.21,9,6,5,3.0,3,1.0,4.0,1,4.0,2.0,1.0,11.0,5.0,255.81205,86.0765,784
128.199.171.81,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,266.5424,76.053,784
128.199.233.7,8,9,3,2.0,8,1.0,5.0,3,4.0,3.0,,22.0,10.0,286.0432,88.049,784
129.146.170.128,3,6,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,158.5172,34.814,784
129.159.207.123,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,19.689300000000003,7.268,784
129.226.100.153,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,243.80565,81.10249999999999,784
13.113.218.223,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,252.67475,71.958,784
13.70.30.72,6,4,2,2.0,3,1.0,4.0,1,4.0,2.0,3.0,8.0,5.0,199.0719,69.152,784
130.61.69.193,3,4,1,,4,1.0,2.0,1,6.0,3.0,,6.0,7.0,14.6509,7.524,784
131.100.0.5,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,154.0552,33.575,8853
131.100.2.149,5,6,3,1.0,4,1.0,2.0,1,5.0,3.0,,8.0,6.0,204.4932,58.713,8853
132.145.85.234,7,6,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,280.63874999999996,96.688,784
132.145.89.230,7,7,3,2.0,6,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,289.6828,107.5305,784
132.226.232.79,7,6,3,2.0,4,1.0,4.0,1,3.0,1.0,3.0,8.0,4.0,281.1675,96.862,784
134.209.81.226,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,20.2834,6.408,784
135.125.236.23,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,19.6689,5.581,784
137.220.51.178,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,155.3555,33.865,8853
139.155.233.205,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,2.0,45.0,25.0,293.7088,108.9815,784
139.162.112.47,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,268.7649,75.714,784
139.162.30.126,3,5,1,,6,1.0,2.0,1,6.0,3.0,,6.0,7.0,167.58015,49.561,784
139.162.70.69,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,265.85445000000004,76.365,784
139.180.153.150,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,208.6945,62.474,784
139.255.78.172,7,6,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,202.91355,72.098,784
139.59.227.123,7,8,3,2.0,7,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,276.8729,79.314,784
139.9.143.3,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,244.04995,82.071,784
139.99.155.194,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,306.2441,108.4645,784
139.99.90.8,7,6,3,2.0,3,1.0,4.0,1,3.0,1.0,3.0,8.0,4.0,256.5681,82.711,784
14.192.49.53,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,187.54745,49.95099999999999,784
140.238.162.129,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,134.142,45.824,784
140.238.19.164,7,5,3,2.0,3,1.0,4.0,1,3.0,1.0,3.0,8.0,4.0,291.97275,100.79400000000001,784
140.238.246.144,3,5,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,148.861,33.624,784
140.238.36.23,7,6,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,250.77095,83.057,784
140.238.39.120,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,264.6717,77.281,784
140.238.40.42,7,7,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,261.7928,88.043,784
140.238.48.8,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,261.0127,87.0235,784
140.238.53.212,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,264.1438,91.1915,784
143.110.186.86,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,153.0022,34.186,8853
143.110.229.87,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,164.2512,42.083,8853
143.110.230.80,3,5,1,,4,1.0,2.0,1,6.0,3.0,,6.0,7.0,168.55790000000002,43.939,784
143.178.67.114,5,5,1,1.0,5,1.0,4.0,1,6.0,3.0,1.0,8.0,7.0,22.30245,17.3955,8853
143.92.43.26,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,267.5708,81.612,784
144.202.51.176,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,112.71195,24.655,784
144.34.176.166,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,168.2265,43.8455,784
144.34.200.57,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,166.81555,42.8655,784
144.34.254.159,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,167.46595000000002,44.599000000000004,784
146.59.157.181,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,24.103,8.31,784
146.59.232.13,3,3,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,28.6536,8.206,784
147.135.109.96,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,164.8823,42.454,8853
148.81.247.254,3,5,1,,6,1.0,2.0,1,4.0,2.0,,5.0,5.0,40.0445,13.406,784
149.129.115.43,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,27.0,15.0,311.16185,104.12899999999999,784
149.248.36.234,3,5,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,156.6904,33.963,8853
149.28.138.127,3,3,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,195.0781,48.983000000000004,784
149.28.148.61,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,166.2615,42.3005,784
15.165.113.96,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,286.5181,99.029,784
150.109.196.129,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,255.6539,74.391,784
150.136.0.232,3,6,1,,7,1.0,2.0,1,5.0,3.0,,6.0,6.0,96.77165,20.6175,784
150.136.167.186,3,6,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,108.54759999999999,22.036,784
152.67.2.170,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,133.376,28.949,784
154.0.173.6,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,201.2683,51.674,784
154.49.211.118,3,4,1,,6,1.0,2.0,1,5.0,2.0,,5.0,6.0,29.8133,12.558,784
155.138.130.135,3,5,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,101.364,20.482,8853
155.254.28.98,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,104.8012,21.723,8853
156.251.165.134,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,254.9435,75.021,784
157.90.155.38,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,17.07775,6.887499999999999,784
158.101.98.125,3,4,1,,5,1.0,2.0,1,4.0,2.0,,5.0,5.0,102.65095,26.444499999999998,784
159.100.248.193,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,28.865,9.868,8853
159.75.70.85,7,6,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,259.32775000000004,73.884,784
160.119.72.32,3,3,1,,3,1.0,2.0,1,4.0,2.0,11.0,5.0,5.0,176.1689,48.689,784
161.117.233.162,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,253.2012,71.952,784
161.129.152.196,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,141.204,31.414,784
161.97.79.138,3,3,1,,4,1.0,2.0,1,3.0,1.0,,4.0,4.0,28.05695,9.464,784
162.14.132.76,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,219.97359999999998,62.658,784
162.220.221.25,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,162.073,35.91,8853
162.220.222.155,3,5,1,,7,1.0,2.0,1,5.0,3.0,,6.0,6.0,149.8244,34.117,8853
162.220.223.23,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,113.6688,24.149,8853
162.243.248.156,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,98.6039,21.605,784
162.250.188.50,3,4,1,,5,1.0,2.0,1,3.0,1.0,,4.0,4.0,100.5415,20.6805,784
162.250.2.3,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,133.5959,28.967,8853
162.250.7.137,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,118.7218,30.246,8853
162.55.172.222,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,18.88245,6.3985,784
162.55.42.240,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,18.1212,6.287,784
164.160.130.158,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,122.367,26.271,8853
164.68.113.181,3,5,1,,5,1.0,2.0,1,6.0,3.0,,6.0,7.0,41.4792,11.774000000000001,784
165.22.253.142,7,7,3,2.0,5,1.0,4.0,1,7.0,4.0,3.0,11.0,8.0,262.9419,74.337,784
165.232.162.84,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,274.4534,78.008,784
166.70.53.115,3,5,1,,6,1.0,2.0,1,4.0,3.0,,6.0,5.0,145.7605,42.986,8853
167.179.109.118,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,250.0945,70.796,8853
167.99.37.126,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,15.5881,6.234,784
168.138.192.191,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,252.1406,84.7365,784
168.138.192.72,7,9,3,2.0,7,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,249.9378,72.72,784
168.138.36.228,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,262.0639,88.86,784
168.138.45.71,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,277.79769999999996,101.47800000000001,784
168.138.47.72,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,264.8423,76.214,784
170.39.224.134,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,104.2186,20.616999999999997,8853
170.39.225.135,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,121.9676,27.329,8853
172.104.118.6,7,8,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,256.1072,77.346,784
172.104.59.35,7,8,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,258.1052,78.292,784
172.105.241.137,7,8,3,2.0,6,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,266.0223,74.949,784
173.242.127.47,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,158.9459,42.075,784
173.82.16.26,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,164.8629,50.274,784
173.82.173.210,3,6,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,168.8041,44.0815,784
173.82.212.51,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,157.1114,37.978,784
173.82.250.180,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,163.0281,36.877,784
174.138.29.175,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,276.6456,80.015,784
174.48.82.184,3,5,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,140.6548,42.675,784
176.103.130.130,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,19.9325,7.598,784
176.103.130.130,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,18.9715,7.903,8853
176.103.130.131,3,3,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,22.1859,9.298,784
176.103.130.131,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,19.1516,3.322,8853
176.103.130.132,3,3,1,,3,1.0,2.0,1,3.0,2.0,1.0,5.0,4.0,21.9149,7.079,784
176.103.130.132,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,19.2406,6.066,8853
176.103.130.134,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,20.36965,10.2375,8853
176.103.130.136,3,5,1,,5,1.0,2.0,1,4.0,2.0,,5.0,5.0,27.9408,5.621,784
176.103.130.136,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,18.28805,7.418,8853
176.103.130.137,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,11.168,2.23,784
176.103.130.137,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,15.1457,6.01505,8853
176.126.70.229,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,43.3712,8.219,784
176.223.136.169,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,35.6306,7.135,784
176.31.83.186,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,23.22365,8.207,784
176.58.107.94,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,25.2082,7.653,784
176.58.89.224,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,17.5,7.068,784
178.18.54.141,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,36.558,8.144,784
178.255.153.47,3,4,1,1.0,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,29.9481,9.757,8853
178.255.154.59,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,29.5188,6.674,8853
178.79.168.139,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,24.2281,4.855,784
18.166.54.22,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,288.7161,97.625,784
185.10.16.125,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,30.1197,5.723,8853
185.104.249.220,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,55.6752,13.083,784
185.105.3.221,3,4,1,,3,1.0,2.0,1,3.0,1.0,,4.0,4.0,23.87445,7.559,784
185.113.140.120,3,6,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,56.4113,9.6,8853
185.121.25.64,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,16.4726,5.648,784
185.150.10.229,3,6,1,,7,1.0,2.0,1,5.0,3.0,,6.0,6.0,28.5124,6.243,8853
185.17.121.159,3,4,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,25.6481,9.745550000000001,784
185.17.121.229,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,16.8934,8.693,784
185.17.3.188,3,6,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,56.1566,12.909,784
185.171.202.184,3,3,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,38.323,12.867,784
185.172.129.86,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,98.7616,20.846,784
185.18.148.91,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,26.4345,7.906,8853
185.180.206.110,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,35.9343,8.283,784
185.200.44.46,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,50.2777,15.048,784
185.204.0.216,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,51.412549999999996,14.035499999999999,784
185.204.3.73,5,6,1,1.0,5,1.0,4.0,1,6.0,3.0,1.0,8.0,7.0,60.8965,30.44825,784
185.209.84.31,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,157.8759,33.957,8853
185.213.174.109,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,13.3504,3.598,784
185.228.148.83,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,32.9727,6.434,8853
185.229.226.28,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,82.819,17.369,8853
185.231.155.252,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,49.5,14.014,784
185.233.105.50,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,42.21615,11.8775,784
185.240.84.237,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,120.768,25.907,8853
185.243.9.209,3,4,1,,6,1.0,2.0,1,5.0,2.0,,5.0,6.0,22.7187,9.509,784
185.40.106.78,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,51.659,13.984,8853
185.44.81.53,3,5,1,,5,1.0,2.0,1,6.0,3.0,,6.0,7.0,24.5146,10.4204,784
185.70.196.151,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,33.1682,10.069,784
185.87.111.218,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,44.8545,11.83,8853
188.166.232.214,7,8,3,2.0,7,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,254.411,85.566,784
188.172.192.71,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,19.6963,9.258,8853
188.172.213.149,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,175.1332,43.730000000000004,8853
188.172.217.27,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,189.91365000000002,47.576,8853
188.172.219.167,3,5,1,,6,1.0,2.0,1,5.0,2.0,,5.0,6.0,21.8753,7.541,8853
188.172.221.9,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,100.6589,20.569000000000003,8853
188.172.223.3,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,38.2903,12.076,8853
188.172.251.1,3,6,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,136.2786,29.99,8853
188.241.178.104,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,32.5368,7.001,8853
188.244.6.184,3,6,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,62.94565,22.018,784
188.68.59.46,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,23.588,8.198,784
191.252.186.173,7,5,3,2.0,3,1.0,4.0,1,3.0,1.0,3.0,8.0,4.0,250.0674,77.997,784
191.96.51.196,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,109.65344999999999,22.761499999999998,8853
192.145.127.148,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,25.2452,9.428,8853
192.210.203.194,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,106.6686,21.527,784
192.227.137.91,3,3,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,137.5608,43.727999999999994,784
192.34.80.185,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,101.19525,23.6525,784
192.53.115.165,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,167.5299,41.513999999999996,784
192.53.175.149,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,166.20069999999998,42.4735,784
193.110.202.180,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,319.36670000000004,106.9225,784
193.122.109.109,7,8,3,2.0,6,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,291.6582,99.879,784
193.122.125.53,7,7,3,2.0,5,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,287.08825,120.951,784
193.122.127.0,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,288.53589999999997,115.56899999999999,784
193.122.146.137,3,5,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,107.9131,23.503,784
193.123.225.24,7,7,3,2.0,4,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,270.45355,102.7005,784
193.123.229.112,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,273.2582,77.796,784
193.123.232.64,7,7,3,2.0,5,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,290.5849,107.202,784
193.123.254.110,7,7,3,2.0,4,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,279.1453,116.2625,784
193.168.204.73,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,26.9925,9.942,8853
193.7.200.123,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,156.7242,35.637,8853
193.9.112.136,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,30.3008,11.372,8853
194.110.115.97,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,27.9333,8.358,8853
194.177.23.120,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,57.3998,12.431,8853
194.195.249.156,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,300.54970000000003,101.457,784
194.249.0.142,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,31.9114,9.739,784
194.5.79.82,3,4,1,,5,1.0,2.0,1,3.0,1.0,,4.0,4.0,90.61865,19.795,784
194.62.96.176,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,44.17225,13.3445,784
194.87.147.4,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,63.4167,18.942,784
195.181.210.76,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,34.0036,11.549,784
198.211.40.216,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,151.3347,35.91,784
198.255.103.36,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,162.26549999999997,41.828,784
198.46.152.146,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,166.7707,50.461,784
199.115.228.168,3,4,1,,3,1.0,2.0,1,3.0,1.0,,4.0,4.0,168.03764999999999,42.611000000000004,784
199.119.65.94,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,112.6365,22.162,8853
199.247.16.158,3,4,1,,6,1.0,2.0,1,5.0,2.0,,5.0,6.0,24.2176,9.504,8853
2.56.8.155,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,24.022,5.292,784
2.58.242.209,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,232.70794999999998,85.446,784
200.25.22.68,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,240.2491,68.2,8853
200.25.27.29,3,5,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,179.3014,46.1505,8853
200.25.32.197,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,170.3974,42.355000000000004,8853
200.25.36.70,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,193.206,48.6225,8853
200.25.45.97,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,202.1733,60.242,8853
200.25.57.69,3,6,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,200.3505,50.510000000000005,8853
200.25.62.68,7,8,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,286.09045000000003,96.58000000000001,8853
202.5.18.122,3,3,1,,3,1.0,2.0,1,3.0,1.0,,4.0,4.0,165.1023,44.739000000000004,784
203.129.21.99,7,7,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,292.3714,102.8675,784
203.153.108.122,7,7,3,2.0,4,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,285.8879,114.771,784
203.153.116.141,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,222.45045,78.534,784
203.162.172.59,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,205.43630000000002,58.253,8853
203.76.245.200,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,264.5513,76.758,8853
